FID,INSPIREID,COUNTRY,NATLEVNAME,NATCODE,NAMEUNIT,CODNUT1,CODNUT2,CODNUT3,COD_INE,COD_PROV,NOM_ETIQ,HABITANTES,DENSIDAD,SUP_KM2,CP,SHAPE_Length,SHAPE_Area
430,ES.IGN.SIGLIM34081616272,ES,Municipio,34081616272,Villas de la Ventosa,ES4,ES42,ES423,16272,16,Villas de la Ventosa,233,1.6,145.024203,16843,73449.5847632934,249233172.25058
431,ES.IGN.SIGLIM34081616274,ES,Municipio,34081616274,Víllora,ES4,ES42,ES423,16274,16,Víllora,128,1.86,68.761871,16371,57688.0771030558,116715802.859207
432,ES.IGN.SIGLIM34081919183,ES,Municipio,34081919183,Milmarcos,ES4,ES42,ES424,19183,19,Milmarcos,77,1.75,43.962531,19330,41526.1408717527,77523072.6950053
433,ES.IGN.SIGLIM34081616276,ES,Municipio,34081616276,Yémeda,ES4,ES42,ES423,16276,16,Yémeda,22,0.76,28.823371,16373,35953.1904788419,48853825.3063927
434,ES.IGN.SIGLIM34081616277,ES,Municipio,34081616277,Zafra de Záncara,ES4,ES42,ES423,16277,16,Zafra de Záncara,124,1.57,78.693194,16443,57691.9764915149,133902209.625116
435,ES.IGN.SIGLIM34081616278,ES,Municipio,34081616278,Zafrilla,ES4,ES42,ES423,16278,16,Zafrilla,64,0.6,105.996007,16317,75005.3620626731,182236292.213731
436,ES.IGN.SIGLIM34081616279,ES,Municipio,34081616279,Zarza de Tajo,ES4,ES42,ES423,16279,16,Zarza de Tajo,229,5.02,45.598379,16470,38727.6008396196,78237623.5741943
437,ES.IGN.SIGLIM34081616280,ES,Municipio,34081616280,Zarzuela,ES4,ES42,ES423,16280,16,Zarzuela,181,4.49,40.237051,16146,34812.350169193,69346483.9411583
438,ES.IGN.SIGLIM34081616901,ES,Municipio,34081616901,Campos del Paraíso,ES4,ES42,ES423,16901,16,Campos del Paraíso,767,3.53,216.878758,16830,104552.720157876,370317082.789921
439,ES.IGN.SIGLIM34081616902,ES,Municipio,34081616902,Valdetórtola,ES4,ES42,ES423,16902,16,Valdetórtola,130,1.26,103.172857,16122,79107.2791903445,175697997.170204
440,ES.IGN.SIGLIM34081616903,ES,Municipio,34081616903,Las Valeras,ES4,ES42,ES423,16903,16,Las Valeras,1516,13.43,112.857599,16120,66409.7563354903,191735693.573671
441,ES.IGN.SIGLIM34081919001,ES,Municipio,34081919001,Abánades,ES4,ES42,ES424,19001,19,Abánades,53,1.46,36.056012,19432,34321.4291403453,63191985.9978875
442,ES.IGN.SIGLIM34081616904,ES,Municipio,34081616904,Fuentenava de Jábaga,ES4,ES42,ES423,16904,16,Fuentenava de Jábaga,525,3.94,132.953149,16194,81788.4736126386,228043516.783698
